paths,preds,probs,slide_ids,targets
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_0_Y_5120.png,1,0.66990727186203,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_0_Y_5632.png,1,0.8207151889801025,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_0_Y_6144.png,0,0.6055997610092163,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_0_Y_6656.png,0,0.9965213537216187,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_0_Y_7168.png,0,0.5642133355140686,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_0_Y_7680.png,0,0.5049218535423279,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_1024_Y_2048.png,1,0.8143943548202515,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_1024_Y_2560.png,0,0.9999361038208008,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_1024_Y_3072.png,0,0.9998687505722046,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_1024_Y_3584.png,0,0.9998098015785217,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_1024_Y_4096.png,0,0.9998334646224976,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_1024_Y_4608.png,0,0.9999874830245972,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_1024_Y_512.png,0,0.7153364419937134,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_1024_Y_5120.png,0,0.9999364614486694,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_1024_Y_5632.png,0,0.9997920393943787,TCGA-A3-3313-01A-02-BS2,0
/ssd_scratch/cvit/piyush/KIRC/test/cancer/TCGA-A3-3313-01A-02-BS2/TCGA-A3-3313-01A-02-BS2_X_1024_Y_6144.png,0,0.9895408749580383,TCGA-A3-3313-01A-02-BS2,0
